instanceType,instanceFamily,instanceFamilyName,processor,processorFeatures,vCpus,vCpuCores,vCpuThreadsPerCore,memorySizeInMiB,memorySizeInGiB,storage,storageTotalSizeInGB,networkPerformance,gpuTotalGpuMemoryInMiB,gpuTotalGpuMemoryInGiB,gpuCount,gpuName,gpuMemorySizeInMiB,onDemandLinuxHr,onDemandLinuxMonth,spotLinuxHr,spotLinuxMonth,processorClockSpeedInGhz,location,locationName,locationType,locationContinent,storageSupported,gpuManufacturer,currentGeneration,supportedUsageClasses,supportedRootDeviceTypes,supportedVirtualizationTypes,bareMetal,hypervisor,processorArchitectures,processorManufacturer,storageNvmeSupport,storageEncryptionSupport,ebsOptimizedSupport,ebsEncryptionSupport,ebsOptimizedBaselineBandwidthInMbps,ebsOptimizedBaselineThroughputInMBps,ebsOptimizedBaselineIops,ebsOptimizedMaxBandwidthInMbps,ebsOptimizedMaxThroughputInMBps,ebsOptimizedMaxIops,ebsNvmeSupport,onDemandSuseHr,onDemandSuseMonth,onDemandRhelHr,onDemandRhelMonth
a1.2xlarge,a1,"General purpose","AWS Graviton Processor","",8.0,8.0,1.0,16384.0,16.0,"EBS only",0.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.204,148.92,0.2031,148.26,2.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",0,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,"","",default,supported,1750.0,219.0,10000.0,3500.0,438.0,20000.0,required,0.329,240.17,0.3192,233.02
a1.4xlarge,a1,"General purpose","AWS Graviton Processor","",16.0,16.0,1.0,32768.0,32.0,"EBS only",0.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.408,297.84,0.4058,296.23,2.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",0,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,"","",default,supported,3500.0,438.0,20000.0,3500.0,438.0,20000.0,required,0.533,389.09,0.5808,423.98
a1.large,a1,"General purpose","AWS Graviton Processor","",2.0,2.0,1.0,4096.0,4.0,"EBS only",0.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.051,37.23,0.0508,37.08,2.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",0,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,"","",default,supported,525.0,66.0,4000.0,3500.0,438.0,20000.0,required,0.1073,78.33,0.0798,58.25
a1.medium,a1,"General purpose","AWS Graviton Processor","",1.0,1.0,1.0,2048.0,2.0,"EBS only",0.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.0255,18.61,0.0254,18.54,2.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",0,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,"","",default,supported,300.0,38.0,2500.0,3500.0,438.0,20000.0,required,0.0565,41.25,0.0399,29.13
a1.metal,a1,"General purpose","AWS Graviton Processor","",16.0,16.0,1.0,32768.0,32.0,"EBS only",0.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.408,297.84,0.4062,296.53,2.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",0,"on-demand, spot",ebs,hvm,1,"",arm64,AWS,"","",default,supported,3500.0,438.0,20000.0,3500.0,438.0,20000.0,required,0.533,389.09,0.581,424.13
a1.xlarge,a1,"General purpose","AWS Graviton Processor","",4.0,4.0,1.0,8192.0,8.0,"EBS only",0.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.102,74.46,0.1015,74.09,2.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",0,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,"","",default,supported,800.0,100.0,6000.0,3500.0,438.0,20000.0,required,0.1583,115.56,0.1596,116.51
c1.medium,c1,"Compute optimized","Intel Xeon Family","",2.0,2.0,1.0,1740.0,1.7,"1 x 350 SSD",350.0,Moderate,0.0,0.0,0,"","",0.13,94.9,0.014,10.22,0.0,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",0,"on-demand, spot","ebs, instance-store","hvm, paravirtual",0,xen,"i386, x86_64",Intel,unsupported,unsupported,unsupported,supported,0.0,0.0,0.0,0.0,0.0,0.0,unsupported,0.23,167.9,0.16,116.8
c1.xlarge,c1,"Compute optimized","Intel Xeon Family","",8.0,8.0,1.0,7168.0,7.0,"4 x 420 SSD",1680.0,High,0.0,0.0,0,"","",0.52,379.6,0.1542,112.57,0.0,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",0,"on-demand, spot","ebs, instance-store","hvm, paravirtual",0,xen,x86_64,Intel,unsupported,unsupported,supported,supported,1000.0,125.0,8000.0,1000.0,125.0,8000.0,unsupported,0.62,452.6,0.64,467.2
c3.2xlarge,c3,"Compute optimized","Intel Xeon E5-2680 v2 (Ivy Bridge)","Intel AVX; Intel Turbo",8.0,4.0,2.0,15360.0,15.0,"2 x 80 SSD",160.0,High,0.0,0.0,0,"","",0.42,306.6,0.1364,99.57,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",0,"on-demand, spot","ebs, instance-store","hvm, paravirtual",0,xen,x86_64,Intel,unsupported,unsupported,supported,supported,1000.0,125.0,8000.0,1000.0,125.0,8000.0,unsupported,0.52,379.6,0.535,390.55
c3.4xlarge,c3,"Compute optimized","Intel Xeon E5-2680 v2 (Ivy Bridge)","Intel AVX; Intel Turbo",16.0,8.0,2.0,30720.0,30.0,"2 x 160 SSD",320.0,High,0.0,0.0,0,"","",0.84,613.2,0.3543,258.64,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",0,"on-demand, spot","ebs, instance-store","hvm, paravirtual",0,xen,x86_64,Intel,unsupported,unsupported,supported,supported,2000.0,250.0,16000.0,2000.0,250.0,16000.0,unsupported,0.94,686.2,1.013,739.49
c3.8xlarge,c3,"Compute optimized","Intel Xeon E5-2680 v2 (Ivy Bridge)","Intel AVX; Intel Turbo",32.0,16.0,2.0,61440.0,60.0,"2 x 320 SSD",640.0,"10 Gigabit",0.0,0.0,0,"","",1.68,1226.4,0.4755,347.12,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",0,"on-demand, spot","ebs, instance-store","hvm, paravirtual",0,xen,x86_64,Intel,unsupported,unsupported,unsupported,supported,0.0,0.0,0.0,0.0,0.0,0.0,unsupported,1.78,1299.4,2.026,1478.98
c3.large,c3,"Compute optimized","Intel Xeon E5-2680 v2 (Ivy Bridge)","Intel AVX; Intel Turbo",2.0,1.0,2.0,3840.0,3.75,"2 x 16 SSD",32.0,Moderate,0.0,0.0,0,"","",0.105,76.65,0.0283,20.66,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",0,"on-demand, spot","ebs, instance-store","hvm, paravirtual",0,xen,"i386, x86_64",Intel,unsupported,unsupported,unsupported,supported,0.0,0.0,0.0,0.0,0.0,0.0,unsupported,0.205,149.65,0.134,97.82
c3.xlarge,c3,"Compute optimized","Intel Xeon E5-2680 v2 (Ivy Bridge)","Intel AVX; Intel Turbo",4.0,2.0,2.0,7680.0,7.5,"2 x 40 SSD",80.0,Moderate,0.0,0.0,0,"","",0.21,153.3,0.0718,52.41,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",0,"on-demand, spot","ebs, instance-store","hvm, paravirtual",0,xen,x86_64,Intel,unsupported,unsupported,supported,supported,500.0,63.0,4000.0,500.0,63.0,4000.0,unsupported,0.31,226.3,0.268,195.64
