instanceType,vCpus,memorySizeInGiB,processorClockSpeedInGhz,spotLinuxHr,onDemandLinuxHr,storageTotalSizeInGB,speed_price_ratio,cpu_price_ratio,ram_price_ratio,comp_price_ratio,demand_spot_ratio,instanceFamilyName
a1.2xlarge,8.0,16.0,2.3,0.2031,0.204,0.0,11.2745098039216,39.2156862745098,78.4313725490196,90.1960784313725,1.00443131462334,"General purpose"
a1.4xlarge,16.0,32.0,2.3,0.4058,0.408,0.0,5.63725490196078,39.2156862745098,78.4313725490196,90.1960784313725,1.00542138984722,"General purpose"
a1.large,2.0,4.0,2.3,0.0508,0.051,0.0,45.0980392156863,39.2156862745098,78.4313725490196,90.1960784313725,1.00393700787402,"General purpose"
a1.medium,1.0,2.0,2.3,0.0254,0.0255,0.0,90.1960784313725,39.2156862745098,78.4313725490196,90.1960784313725,1.00393700787402,"General purpose"
a1.metal,16.0,32.0,2.3,0.4062,0.408,0.0,5.63725490196078,39.2156862745098,78.4313725490196,90.1960784313725,1.00443131462334,"General purpose"
a1.xlarge,4.0,8.0,2.3,0.1015,0.102,0.0,22.5490196078431,39.2156862745098,78.4313725490196,90.1960784313725,1.00492610837438,"General purpose"
c1.medium,2.0,1.7,0.0,0.014,0.13,350.0,0.0,15.3846153846154,13.0769230769231,0.0,9.28571428571429,"Compute optimized"
c1.xlarge,8.0,7.0,0.0,0.1542,0.52,1680.0,0.0,15.3846153846154,13.4615384615385,0.0,3.37224383916991,"Compute optimized"
c3.2xlarge,8.0,15.0,2.8,0.1364,0.42,160.0,6.66666666666667,19.047619047619,35.7142857142857,53.3333333333333,3.0791788856305,"Compute optimized"
c3.4xlarge,16.0,30.0,2.8,0.3543,0.84,320.0,3.33333333333333,19.047619047619,35.7142857142857,53.3333333333333,2.37087214225233,"Compute optimized"
c3.8xlarge,32.0,60.0,2.8,0.4755,1.68,640.0,1.66666666666667,19.047619047619,35.7142857142857,53.3333333333333,3.53312302839117,"Compute optimized"
c3.large,2.0,3.75,2.8,0.0283,0.105,32.0,26.6666666666667,19.047619047619,35.7142857142857,53.3333333333333,3.71024734982332,"Compute optimized"
c3.xlarge,4.0,7.5,2.8,0.0718,0.21,80.0,13.3333333333333,19.047619047619,35.7142857142857,53.3333333333333,2.92479108635097,"Compute optimized"
c4.2xlarge,8.0,15.0,2.9,0.1587,0.398,0.0,7.28643216080402,20.1005025125628,37.6884422110553,58.2914572864322,2.50787649653434,"Compute optimized"
c4.4xlarge,16.0,30.0,2.9,0.2862,0.796,0.0,3.64321608040201,20.1005025125628,37.6884422110553,58.2914572864322,2.78127183787561,"Compute optimized"
c4.8xlarge,36.0,60.0,2.9,0.5209,1.591,0.0,1.82275298554368,22.6272784412319,37.7121307353866,65.6191074795726,3.05432904588213,"Compute optimized"
c4.large,2.0,3.75,2.9,0.0309,0.1,0.0,29.0,20.0,37.5,58.0,3.23624595469256,"Compute optimized"
c4.xlarge,4.0,7.5,2.9,0.0591,0.199,0.0,14.572864321608,20.1005025125628,37.6884422110553,58.2914572864322,3.36717428087987,"Compute optimized"
c5.12xlarge,48.0,96.0,3.6,0.5321,2.04,0.0,1.76470588235294,23.5294117647059,47.0588235294118,84.7058823529412,3.83386581469649,"Compute optimized"
c5.18xlarge,72.0,144.0,3.4,0.845,3.06,0.0,1.11111111111111,23.5294117647059,47.0588235294118,80.0,3.62130177514793,"Compute optimized"
c5.24xlarge,96.0,192.0,3.6,0.9011,4.08,0.0,0.882352941176471,23.5294117647059,47.0588235294118,84.7058823529412,4.52779935634225,"Compute optimized"
c5.2xlarge,8.0,16.0,3.4,0.1294,0.34,0.0,10.0,23.5294117647059,47.0588235294118,80.0,2.62751159196291,"Compute optimized"
c5.4xlarge,16.0,32.0,3.4,0.179,0.68,0.0,5.0,23.5294117647059,47.0588235294118,80.0,3.79888268156425,"Compute optimized"
