instanceType,vCpus,vCpuCores,memorySizeInGiB,gpuCount,gpuTotalGpuMemoryInGiB,onDemandLinuxHr,spotLinuxHr,vCpuThreadsPerCore,storageTotalSizeInGB,storage,networkPerformance,gpuName,processorClockSpeedInGhz,instanceFamilyName
a1.2xlarge,8.0,8.0,16.0,0,0.0,0.204,0.2031,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.3,"General purpose"
a1.4xlarge,16.0,16.0,32.0,0,0.0,0.408,0.4058,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.3,"General purpose"
a1.large,2.0,2.0,4.0,0,0.0,0.051,0.0508,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.3,"General purpose"
a1.medium,1.0,1.0,2.0,0,0.0,0.0255,0.0254,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.3,"General purpose"
a1.metal,16.0,16.0,32.0,0,0.0,0.408,0.4062,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.3,"General purpose"
a1.xlarge,4.0,4.0,8.0,0,0.0,0.102,0.1015,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.3,"General purpose"
c1.medium,2.0,2.0,1.7,0,0.0,0.13,0.014,1.0,350.0,"1 x 350 SSD",Moderate,"",0.0,"Compute optimized"
c1.xlarge,8.0,8.0,7.0,0,0.0,0.52,0.1542,1.0,1680.0,"4 x 420 SSD",High,"",0.0,"Compute optimized"
c3.2xlarge,8.0,4.0,15.0,0,0.0,0.42,0.1364,2.0,160.0,"2 x 80 SSD",High,"",2.8,"Compute optimized"
c3.4xlarge,16.0,8.0,30.0,0,0.0,0.84,0.3543,2.0,320.0,"2 x 160 SSD",High,"",2.8,"Compute optimized"
c3.8xlarge,32.0,16.0,60.0,0,0.0,1.68,0.4755,2.0,640.0,"2 x 320 SSD","10 Gigabit","",2.8,"Compute optimized"
c3.large,2.0,1.0,3.75,0,0.0,0.105,0.0283,2.0,32.0,"2 x 16 SSD",Moderate,"",2.8,"Compute optimized"
c3.xlarge,4.0,2.0,7.5,0,0.0,0.21,0.0718,2.0,80.0,"2 x 40 SSD",Moderate,"",2.8,"Compute optimized"
c4.2xlarge,8.0,4.0,15.0,0,0.0,0.398,0.1587,2.0,0.0,"EBS only",High,"",2.9,"Compute optimized"
c4.4xlarge,16.0,8.0,30.0,0,0.0,0.796,0.2862,2.0,0.0,"EBS only",High,"",2.9,"Compute optimized"
c4.8xlarge,36.0,18.0,60.0,0,0.0,1.591,0.5209,2.0,0.0,"EBS only","10 Gigabit","",2.9,"Compute optimized"
c4.large,2.0,1.0,3.75,0,0.0,0.1,0.0309,2.0,0.0,"EBS only",Moderate,"",2.9,"Compute optimized"
c4.xlarge,4.0,2.0,7.5,0,0.0,0.199,0.0591,2.0,0.0,"EBS only",High,"",2.9,"Compute optimized"
c5.12xlarge,48.0,24.0,96.0,0,0.0,2.04,0.5321,2.0,0.0,"EBS only","12 Gigabit","",3.6,"Compute optimized"
c5.18xlarge,72.0,36.0,144.0,0,0.0,3.06,0.845,2.0,0.0,"EBS only","25 Gigabit","",3.4,"Compute optimized"
c5.24xlarge,96.0,48.0,192.0,0,0.0,4.08,0.9011,2.0,0.0,"EBS only","25 Gigabit","",3.6,"Compute optimized"
c5.2xlarge,8.0,4.0,16.0,0,0.0,0.34,0.1294,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.4,"Compute optimized"
c5.4xlarge,16.0,8.0,32.0,0,0.0,0.68,0.179,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.4,"Compute optimized"
c5.9xlarge,36.0,18.0,72.0,0,0.0,1.53,0.5126,2.0,0.0,"EBS only","12 Gigabit","",3.4,"Compute optimized"
c5.large,2.0,1.0,4.0,0,0.0,0.085,0.0318,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.4,"Compute optimized"
c5.metal,96.0,48.0,192.0,0,0.0,4.08,0.5699,2.0,0.0,"EBS only","25 Gigabit","",3.6,"Compute optimized"
c5.xlarge,4.0,2.0,8.0,0,0.0,0.17,0.0608,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.4,"Compute optimized"
c5a.12xlarge,48.0,24.0,96.0,0,0.0,1.848,0.5485,2.0,0.0,"EBS only","12 Gigabit","",3.3,"Compute optimized"
c5a.16xlarge,64.0,32.0,128.0,0,0.0,2.464,0.8527,2.0,0.0,"EBS only","20 Gigabit","",3.3,"Compute optimized"
c5a.24xlarge,96.0,48.0,192.0,0,0.0,3.696,1.2555,2.0,0.0,"EBS only","20 Gigabit","",3.3,"Compute optimized"
c5a.2xlarge,8.0,4.0,16.0,0,0.0,0.308,0.1366,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.3,"Compute optimized"
c5a.4xlarge,16.0,8.0,32.0,0,0.0,0.616,0.276,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.3,"Compute optimized"
c5a.8xlarge,32.0,16.0,64.0,0,0.0,1.232,0.4992,2.0,0.0,"EBS only","10 Gigabit","",3.3,"Compute optimized"
c5a.large,2.0,1.0,4.0,0,0.0,0.077,0.0278,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.3,"Compute optimized"
c5a.xlarge,4.0,2.0,8.0,0,0.0,0.154,0.0606,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.3,"Compute optimized"
c5ad.12xlarge,48.0,24.0,96.0,0,0.0,2.064,0.7965,2.0,1800.0,"2 x 900 NVMe SSD","12 Gigabit","",3.3,"Compute optimized"
c5ad.16xlarge,64.0,32.0,128.0,0,0.0,2.752,0.9347,2.0,2400.0,"2 x 1200 NVMe SSD","20 Gigabit","",3.3,"Compute optimized"
